,Size,Availability,Furnishing,Price,Flat Size,Location,Balcony,Ready to Move,Under Construction,furnished,semi-furnished,unfurnished,furnished,semi-furnished,unfurnished
129,1250,Ready to Move,semi-furnished,185.0,3,Kharadi,3,True,False,False,True,False,False,True,False
130,1570,Ready to Move,unfurnished,149.0,4,Balewadi,2,True,False,False,False,True,False,False,True
131,1900,Ready to Move,unfurnished,300.0,4,Baner,3,True,False,False,False,True,False,False,True
132,1507,Ready to Move,unfurnished,268.0,3,Kharadi,3,True,False,False,False,True,False,False,True
133,1050,Ready to Move,semi-furnished,138.0,3,Wakad,3,True,False,False,True,False,False,True,False
134,900,Ready to Move,unfurnished,82.0,3,Ravet,2,True,False,False,False,True,False,False,True
135,1765,Ready to Move,furnished,465.00000000000006,4,Pimple Nilakh,3,True,False,True,False,False,True,False,False
136,900,Ready to Move,semi-furnished,120.0,2,Balewadi,2,True,False,False,True,False,False,True,False
137,1570,Ready to Move,unfurnished,149.0,4,Balewadi,2,True,False,False,False,True,False,False,True
138,1900,Ready to Move,unfurnished,300.0,4,Baner,2,True,False,False,False,True,False,False,True
139,1500,Ready to Move,semi-furnished,97.0,3,Kondhwa,2,True,False,False,True,False,False,True,False
140,2650,Ready to Move,unfurnished,520.0,4,Kharadi,3,True,False,False,False,True,False,False,True
141,750,Ready to Move,semi-furnished,112.00000000000001,2,Baner,2,True,False,False,True,False,False,True,False
142,1355,Ready to Move,unfurnished,185.0,3,Pimple Gurav,3,True,False,False,False,True,False,False,True
143,876,Ready to Move,unfurnished,105.0,2,Balewadi,2,True,False,False,False,True,False,False,True
144,1305,Ready to Move,unfurnished,210.0,3,Baner,3,True,False,False,False,True,False,False,True
145,1700,Ready to Move,unfurnished,360.0,3,Kharadi,2,True,False,False,False,True,False,False,True
146,855,Under Construction,semi-furnished,84.5,2,Kharadi,2,False,True,False,True,False,False,True,False
147,1950,Ready to Move,semi-furnished,229.99999999999997,4,Chinchwad,2,True,False,False,True,False,False,True,False
148,2106,Ready to Move,unfurnished,300.0,3,other,2,True,False,False,False,True,False,False,True
149,835,Ready to Move,unfurnished,124.0,2,Kothrud,3,True,False,False,False,True,False,False,True
150,779,Ready to Move,unfurnished,67.0,2,Kondhwa,1,True,False,False,False,True,False,False,True
151,826,Ready to Move,semi-furnished,125.0,2,Kharadi,2,True,False,False,True,False,False,True,False
152,690,Ready to Move,furnished,47.0,2,Hadapsar,1,True,False,True,False,False,True,False,False
153,954,Ready to Move,furnished,145.0,2,Kharadi,3,True,False,True,False,False,True,False,False
154,2650,Ready to Move,unfurnished,520.0,4,Kharadi,3,True,False,False,False,True,False,False,True
155,750,Ready to Move,semi-furnished,112.00000000000001,2,Baner,2,True,False,False,True,False,False,True,False
156,1355,Ready to Move,unfurnished,185.0,3,Pimple Gurav,3,True,False,False,False,True,False,False,True
157,876,Ready to Move,unfurnished,105.0,2,Balewadi,2,True,False,False,False,True,False,False,True
158,1700,Ready to Move,unfurnished,360.0,3,Kharadi,2,True,False,False,False,True,False,False,True
159,2106,Ready to Move,unfurnished,300.0,3,other,3,True,False,False,False,True,False,False,True
160,835,Ready to Move,unfurnished,124.0,2,Kothrud,2,True,False,False,False,True,False,False,True
161,779,Ready to Move,unfurnished,67.0,2,Kondhwa,2,True,False,False,False,True,False,False,True
162,826,Ready to Move,semi-furnished,125.0,2,Kharadi,2,True,False,False,True,False,False,True,False
163,690,Ready to Move,furnished,47.0,2,Hadapsar,1,True,False,True,False,False,True,False,False
164,954,Ready to Move,furnished,145.0,2,Kharadi,3,True,False,True,False,False,True,False,False
165,1220,Ready to Move,semi-furnished,151.0,3,Kharadi,3,True,False,False,True,False,False,True,False
166,1650,Ready to Move,semi-furnished,325.0,3,Balewadi,3,True,False,False,True,False,False,True,False
167,907,Ready to Move,unfurnished,145.0,3,Kharadi,2,True,False,False,False,True,False,False,True
168,1095,Ready to Move,unfurnished,125.0,2,Baner,3,True,False,False,False,True,False,False,True
169,1613,Under Construction,unfurnished,261.0,4,Baner,2,False,True,False,False,True,False,False,True
170,850,Ready to Move,semi-furnished,125.0,2,Kothrud,2,True,False,False,True,False,False,True,False
171,1718,Ready to Move,unfurnished,390.0,3,Baner,2,True,False,False,False,True,False,False,True
172,1350,Ready to Move,semi-furnished,135.0,3,Wakad,3,True,False,False,True,False,False,True,False
173,2150,Ready to Move,semi-furnished,330.0,3,Kharadi,3,True,False,False,True,False,False,True,False
174,723,Ready to Move,unfurnished,68.3,2,Hinjewadi,2,True,False,False,False,True,False,False,True
175,2909,Ready to Move,furnished,290.0,3,Kharadi,3,True,False,True,False,False,True,False,False
176,1228,Ready to Move,semi-furnished,211.0,3,Balewadi,3,True,False,False,True,False,False,True,False
177,907,Ready to Move,unfurnished,145.0,3,Kharadi,2,True,False,False,False,True,False,False,True
178,1613,Under Construction,unfurnished,261.0,4,Baner,3,False,True,False,False,True,False,False,True
179,850,Ready to Move,semi-furnished,125.0,2,Kothrud,2,True,False,False,True,False,False,True,False
180,1350,Ready to Move,semi-furnished,135.0,3,Wakad,3,True,False,False,True,False,False,True,False
181,2150,Ready to Move,semi-furnished,330.0,3,Kharadi,3,True,False,False,True,False,False,True,False
182,2909,Ready to Move,furnished,290.0,3,Kharadi,3,True,False,True,False,False,True,False,False
