Size,Availability,Furnishing,Price,Flat Size,Location,Balcony
826 sqft,Ready to Move,semi-furnished,1.25 Cr,2 BHK,Kharadi,2
690 sqft,Ready to Move,furnished,47 Lac,2 BHK,Hadapsar,1
954 sqft,Ready to Move,furnished,1.45 Cr,2 BHK,Kharadi,3
1220 sqft,Ready to Move,semi-furnished,1.51 Cr,3 BHK,Kharadi,3
1650 sqft,Ready to Move,semi-furnished,3.25 Cr,3 BHK,Balewadi,3
907 sqft,Ready to Move,unfurnished,1.45 Cr,3 BHK,Kharadi,2
1095 sqft,Ready to Move,unfurnished,1.25 Cr,2 BHK,Baner,3
1613 sqft,Poss. by Dec '28,unfurnished,2.61 Cr,4 BHK,Baner,2
850 sqft,Ready to Move,semi-furnished,1.25 Cr,2 BHK,Kothrud,2
1718 sqft,Ready to Move,unfurnished,3.90 Cr,3 BHK,Baner,2
1350 sqft,Ready to Move,semi-furnished,1.35 Cr,3 BHK,Wakad,3
2150 sqft,Ready to Move,semi-furnished,3.30 Cr,3 BHK,Kharadi,3
723 sqft,Ready to Move,unfurnished,68.3 Lac,2 BHK,Hinjewadi,2
2909 sqft,Ready to Move,furnished,2.90 Cr,3 BHK,Kharadi,3
1228 sqft,Ready to Move,semi-furnished,2.11 Cr,3 BHK,Balewadi,3
907 sqft,Ready to Move,unfurnished,1.45 Cr,3 BHK,Kharadi,2
1613 sqft,Poss. by Dec '28,unfurnished,2.61 Cr,4 BHK,Baner,3
850 sqft,Ready to Move,semi-furnished,1.25 Cr,2 BHK,Kothrud,2
1350 sqft,Ready to Move,semi-furnished,1.35 Cr,3 BHK,Wakad,3
2150 sqft,Ready to Move,semi-furnished,3.30 Cr,3 BHK,Kharadi,3
2909 sqft,Ready to Move,furnished,2.90 Cr,3 BHK,Kharadi,3
1100 sqft,Ready to Move,furnished,1.90 Cr,3 BHK,Kharadi,2
1354 sqft,Ready to Move,semi-furnished,1.38 Cr,3 BHK,Wakad,3
450 sqft,Ready to Move,furnished,45 Lac,1 BHK,Kondhwa,1
820 sqft,Poss. by Dec '25,unfurnished,73 Lac,2 BHK,Lohegaon,2
1900 sqft,Ready to Move,unfurnished,2.55 Cr,4 BHK,Wakad,3
1167 sqft,Ready to Move,unfurnished,1.70 Cr,3 BHK,Baner,2
2200 sqft,Ready to Move,semi-furnished,3.75 Cr,3 BHK,Kharadi,2
820 sqft,Ready to Move,unfurnished,85 Lac,2 BHK,Kharadi,2
1806 sqft,Ready to Move,furnished,2.05 Cr,3 BHK,Baner,3
2000 sqft,Ready to Move,semi-furnished,2.70 Cr,3 BHK,Kharadi,2
1082 sqft,Poss. by Dec '26,unfurnished,1.24 Cr,3 BHK,Hadapsar,3
955 sqft,Poss. by Dec '26,unfurnished,99.3 Lac,3 BHK,Hinjewadi,2
1080 sqft,Ready to Move,unfurnished,98.3 Lac,3 BHK,Ravet,2
820 sqft,Poss. by Dec '25,unfurnished,73 Lac,2 BHK,Lohegaon,2
1167 sqft,Ready to Move,unfurnished,1.70 Cr,3 BHK,Baner,3
820 sqft,Ready to Move,unfurnished,85 Lac,2 BHK,Kharadi,2
1806 sqft,Ready to Move,furnished,2.05 Cr,3 BHK,Baner,3
1082 sqft,Poss. by Dec '26,unfurnished,1.24 Cr,3 BHK,Hadapsar,2
1080 sqft,Ready to Move,unfurnished,98.3 Lac,3 BHK,Ravet,2
1232 sqft,Ready to Move,unfurnished,1.95 Cr,3 BHK,Hadapsar,2
1100 sqft,Ready to Move,semi-furnished,72 Lac,2 BHK,Kondhwa,1
1250 sqft,Ready to Move,unfurnished,1.79 Cr,3 BHK,Kharadi,2
2275 sqft,Ready to Move,unfurnished,4.70 Cr,4 BHK,Aundh,2
1211 sqft,Ready to Move,semi-furnished,1.75 Cr,3 BHK,Kharadi,3
680 sqft,Ready to Move,unfurnished,73 Lac,2 BHK,Hinjewadi,2
1040 sqft,Poss. by Dec '26,unfurnished,1.27 Cr,3 BHK,Tathawade,3
850 sqft,Poss. by Dec '28,unfurnished,1.25 Cr,2 BHK,Hadapsar,3
1037 sqft,Ready to Move,semi-furnished,1.06 Cr,2 BHK,Kharadi,2
1300 sqft,Ready to Move,semi-furnished,3.05 Cr,3 BHK,Kharadi,2
2600 sqft,Ready to Move,furnished,5.50 Cr,6 BHK,Baner,3
1550 sqft,Ready to Move,furnished,1.52 Cr,3 BHK,Wakad,2
1200 sqft,Ready to Move,unfurnished,1.26 Cr,3 BHK,Wakad,2
2275 sqft,Ready to Move,unfurnished,4.70 Cr,4 BHK,Aundh,2
680 sqft,Ready to Move,unfurnished,73 Lac,2 BHK,Hinjewadi,1
1040 sqft,Poss. by Dec '26,unfurnished,1.27 Cr,3 BHK,Tathawade,2
1037 sqft,Ready to Move,semi-furnished,1.06 Cr,2 BHK,Kharadi,2
